City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Kenai,US,60.5544,-151.2583,20.03,97,100,0.0,overcast clouds
166,Sunrise Manor,US,36.2111,-115.0731,42.82,39,0,8.05,clear sky
167,Tondano,ID,1.3038,124.9112,66.29,95,100,1.97,overcast clouds
168,Toora-Khem,RU,52.4675,96.11,-17.97,100,49,0.51,scattered clouds
169,Lang Son,VN,21.8333,106.7333,47.84,82,28,3.71,scattered clouds
170,Yenagoa,NG,4.9247,6.2642,93.11,39,59,8.39,broken clouds
171,Kalmunai,LK,7.4167,81.8167,76.64,72,7,5.48,clear sky
172,Severo-Kurilsk,RU,50.6789,156.125,27.54,87,100,3.87,overcast clouds
173,Kungurtug,RU,50.5994,97.5228,-14.62,99,66,2.01,broken clouds
174,Kloulklubed,PW,7.0419,134.2556,81.1,81,24,14.03,few clouds
175,Codrington,AU,-38.2667,141.9667,54.7,93,53,7.99,broken clouds
176,Anloga,GH,5.7947,0.8973,88.02,68,12,14.76,few clouds
177,Palana,RU,59.1167,159.9667,9.91,83,100,11.54,overcast clouds
178,Bontang,ID,0.1333,117.5,78.67,85,74,9.64,broken clouds
179,Kerur,IN,16.0167,75.5667,73.67,31,15,4.63,few clouds
180,Arecibo,PR,18.4724,-66.7157,84.49,79,100,3.0,overcast clouds
181,Cidreira,BR,-30.1811,-50.2056,77.99,73,94,4.52,overcast clouds
182,Tilichiki,RU,60.4667,166.1,-2.69,82,100,8.14,overcast clouds
183,Juegang,CN,32.3174,121.1855,40.91,73,3,9.48,clear sky
184,Bubaque,GW,11.2833,-15.8333,79.43,56,0,10.13,clear sky
185,Male,MV,4.1748,73.5089,84.15,74,75,8.05,broken clouds
186,Puerto Carreno,CO,6.189,-67.4859,87.78,55,0,12.66,clear sky
187,Vengerovo,RU,55.6848,76.7471,17.55,83,100,12.48,overcast clouds
188,Ashtabula,US,41.7001,-80.7665,22.24,93,100,8.05,mist
189,Aliganj,IN,27.5,79.1833,53.15,84,0,8.03,clear sky
190,Atbasar,KZ,51.8,68.3333,11.84,82,100,6.58,overcast clouds
191,Miles City,US,46.4083,-105.8406,10.51,78,0,5.75,clear sky
192,Norman Wells,CA,65.282,-126.8329,-32.76,68,20,9.22,few clouds
193,Asfi,MA,32.2994,-9.2372,72.79,42,94,11.74,overcast clouds
194,Bara,NG,10.3744,10.7288,87.3,11,0,11.77,clear sky
195,Nome,US,64.5011,-165.4064,6.87,52,0,12.66,clear sky
196,Manama,BH,26.2154,50.5832,71.78,74,0,8.05,clear sky
197,Port Lincoln,AU,-34.7333,135.8667,63.32,80,52,16.35,broken clouds
198,Kodiak,US,57.79,-152.4072,29.71,93,0,6.91,clear sky
199,Talnakh,RU,69.4865,88.3972,-3.8,96,99,7.94,overcast clouds
200,Baculin,PH,7.4525,126.5842,75.88,81,100,5.84,overcast clouds
201,Novo Aripuana,BR,-5.1206,-60.3797,85.78,68,82,4.61,broken clouds
202,Manzhouli,CN,49.6,117.4333,-9.42,90,8,8.99,clear sky
203,Klaksvik,FO,62.2266,-6.589,36.52,68,96,46.64,overcast clouds
204,Kahului,US,20.8947,-156.47,67.84,81,0,3.44,clear sky
205,Lata,PT,40.1629,-8.3327,60.08,61,100,7.56,overcast clouds
206,Laramie,US,41.3114,-105.5911,26.26,62,0,17.27,clear sky
207,Arman,RU,59.7,150.1667,-2.54,73,99,11.81,overcast clouds
208,Alofi,NU,-19.0595,-169.9187,76.89,78,100,9.22,overcast clouds
209,Hithadhoo,MV,-0.6,73.0833,82.31,73,40,11.65,scattered clouds
210,Henties Bay,NA,-22.116,14.2845,68.86,75,1,10.94,clear sky
211,Tautira,PF,-17.7333,-149.15,77.02,77,58,15.57,light rain
212,Ternate,ID,0.8,127.4,80.02,81,76,4.27,broken clouds
213,Rust,DE,48.2667,7.7333,49.28,73,100,13.8,overcast clouds
214,Port Elizabeth,ZA,-33.918,25.5701,70.11,73,75,12.66,broken clouds
215,Adrar,MR,20.5022,-10.0711,82.47,7,10,10.25,clear sky
216,Skibbereen,IE,51.55,-9.2667,46.11,67,78,18.19,broken clouds
217,Dingle,PH,10.9995,122.6711,73.76,93,100,12.28,overcast clouds
218,Sorgun,TR,39.8101,35.186,25.21,96,100,4.9,overcast clouds
219,Kaduqli,SD,11.0167,29.7167,82.36,13,72,14.12,broken clouds
220,Lavrentiya,RU,65.5833,-171.0,1.35,52,0,18.19,clear sky
221,Abensberg,DE,48.8167,11.85,45.54,76,100,8.52,overcast clouds
222,Hami,CN,42.8,93.45,24.51,35,82,2.57,broken clouds
223,Cotonou,BJ,6.3654,2.4183,84.69,65,5,14.34,clear sky
224,Malusteni,RO,46.1833,27.9167,34.36,50,20,4.36,few clouds
225,Geraldton,AU,-28.7667,114.6,72.01,49,0,2.3,clear sky
226,Marystown,CA,47.1666,-55.1483,38.86,100,100,7.0,overcast clouds
227,Burgeo,CA,47.6167,-57.6152,27.12,92,100,19.39,snow
228,Kununurra,AU,-15.7667,128.7333,78.78,94,40,1.14,scattered clouds
229,Aklavik,CA,68.2191,-135.0107,-19.37,75,0,8.05,clear sky
230,Buala,SB,-8.145,159.5921,80.62,83,100,8.88,overcast clouds
231,Shingu,JP,33.7333,135.9833,41.92,59,2,12.77,clear sky
232,Chumikan,RU,54.7183,135.315,-4.04,78,97,11.61,overcast clouds
233,Shimoda,JP,34.6667,138.95,41.11,56,0,28.45,clear sky
234,Hokitika,NZ,-42.7167,170.9667,60.69,90,100,3.69,overcast clouds
235,Hearst,CA,49.6835,-83.6665,-19.95,79,100,4.27,overcast clouds
236,Padang,ID,-0.9492,100.3543,75.76,93,100,3.8,light rain
237,Menongue,AO,-14.6585,17.691,68.02,79,100,4.0,overcast clouds
238,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,26.46,heavy snow
239,Airai,TL,-8.9266,125.4092,61.39,89,100,1.83,overcast clouds
240,Yar-Sale,RU,66.8333,70.8333,6.15,97,100,2.33,light snow
241,Peniche,PT,39.3558,-9.3811,62.62,85,100,11.99,overcast clouds
242,Borovskoy,KZ,53.8,64.15,21.58,82,100,12.37,overcast clouds
243,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,100,75,10.56,broken clouds
244,Belmonte,BR,-15.8631,-38.8828,84.7,60,92,9.78,overcast clouds
245,Borogontsy,RU,62.6683,131.1683,-34.33,100,100,0.38,overcast clouds
246,Broome,US,42.2506,-75.833,23.16,76,100,1.99,snow
247,Sabang,ID,5.8933,95.3214,82.9,74,35,14.25,scattered clouds
248,Ostrovnoy,RU,68.0531,39.5131,3.6,97,85,9.75,overcast clouds
249,Kavieng,PG,-2.5744,150.7967,82.45,70,100,10.11,overcast clouds
250,Doha,QA,25.2867,51.5333,71.91,71,0,8.05,clear sky
251,Aksarka,RU,66.5606,67.7975,6.15,97,100,2.71,overcast clouds
252,Namatanai,PG,-3.6667,152.4333,79.77,80,100,7.14,overcast clouds
253,Asyut,EG,27.181,31.1837,62.78,41,16,13.85,few clouds
254,Ilulissat,GL,69.2167,-51.1,12.22,67,75,23.02,broken clouds
255,Manokwari,ID,-0.8667,134.0833,78.28,79,67,2.42,broken clouds
256,Fairbanks,US,64.8378,-147.7164,1.24,67,100,3.44,light snow
257,Lebu,CL,-37.6167,-73.65,64.76,77,12,15.28,few clouds
258,Te Anau,NZ,-45.4167,167.7167,44.26,95,96,3.71,overcast clouds
259,Ocampo,MX,21.65,-101.5,58.87,33,26,6.4,scattered clouds
260,Cherskiy,RU,68.75,161.3,-34.69,99,8,3.42,clear sky
261,Adolfo Lopez Mateos,MX,28.4667,-107.3,27.93,66,96,7.31,overcast clouds
262,Kerema,PG,-7.9631,145.7785,76.59,90,98,9.46,heavy intensity rain
263,Tashigang,BT,27.3331,91.5542,44.62,99,100,1.48,light rain
264,Algiers,DZ,36.7525,3.042,64.22,48,0,6.91,clear sky
265,Gijon,ES,43.5357,-5.6615,55.83,83,100,5.01,overcast clouds
266,Horsham,GB,51.064,-0.3272,48.02,63,40,12.66,scattered clouds
267,Strezhevoy,RU,60.7333,77.5889,24.78,95,100,8.5,overcast clouds
268,East London,ZA,-33.0153,27.9116,65.34,100,75,8.05,broken clouds
269,General Teran,MX,25.2667,-99.6833,39.31,41,100,12.39,overcast clouds
270,Sorong,ID,-0.8833,131.25,81.18,81,90,10.22,overcast clouds
271,Meulaboh,ID,4.1363,96.1285,77.9,86,100,4.12,overcast clouds
272,Lompoc,US,34.6391,-120.4579,59.13,78,0,8.05,clear sky
273,Xining,CN,36.6167,101.7667,18.21,49,98,4.07,overcast clouds
